Timestamp,"IGN WITH TAG(YOM#YAWA)
(Optional)",SUMMONER LEVEL,CURRENT RANK,PREFERRED ROLE,TOP,JUNGLE,MID,BOT,SUPPORT, WINRATE,PLAYSTYLE
6/13/2024 10:27:58,PBB Yom#YAWA,506,EMERALD,JUNGLE,Yorick,Karthus,Tristana,Senna,Nautilus,80,AGGRESSIVE
6/13/2024 10:37:56,Akeno Himejima ãƒ„ #xoxo,46,IRON,SUPPORT,Malphite,Lee Sin,Ahri,Ashe,LUX,50,BALANCED
6/13/2024 10:42:42,Yukino#04177,789,CHALLENGER,MID,Riven,Viego,Zoe,Kaisa,Leblanc,62,AGGRESSIVE
6/13/2024 10:46:23,Kamigumi#Rixy,246,DIAMOND,JUNGLE,Fiora,Kindred,Tristana,Aphelios,Blitzcrank,65,BALANCED
6/13/2024 10:56:34,TWC Treestan #Sana,51,IRON,TOP,Shen,Hecarim,Tristana,Ashe,Rell,50,DEFENSIVE
6/13/2024 11:07:32,Twister#XDD,300,GOLD,JUNGLE,Yasuo,Lee Sin,Azir,Kaisa,Pyke,80,AGGRESSIVE
6/13/2024 11:17:40,NeoCryo#Ganyu,200,GOLD,JUNGLE,Yorick ,Nunu,Ahri,Jhin,Leona,47,AGGRESSIVE
6/13/2024 11:19:05,PBB Rodje#002,245,EMERALD,TOP,Urgot,Jarvan IV,Veigar,Jhin,Thresh,49,BALANCED
6/13/2024 11:50:02,Spl1t Demon#God,486,DIAMOND,TOP,Tryndamere,Hecarim,Zed,Lucian,Nautilus ,50,AGGRESSIVE
6/13/2024 14:00:36,nomnom#sushi,116,BRONZE,SUPPORT,Lux,Nunu and Willump,Vex,Seraphine,Morgana,57.1,AGGRESSIVE
6/13/2024 18:42:05,T1 Nyx#sushi,505,PLATINUM,TOP,Riven,Graves,Galio,Caitlyn,Yas,70,BALANCED
6/13/2024 18:46:55,PBB YORT#YUQI,349,SILVER,JUNGLE,Renekton,Udyr,Leblanc,Aphelios,Thresh,58,BALANCED
6/13/2024 19:21:53,HeartStopAyeni#Blood,266,PLATINUM,MID,Nautilus,Zac,Cassiopeia ,twitch,Thresh,55,AGGRESSIVE
6/13/2024 20:45:46,Kapsss #PAKYU,242,SILVER,SUPPORT,DARIUS,LEE SIN,AKALI,VARUS,THRESH,47,BALANCED
6/13/2024 20:48:14,BREX#OwO,500,EMERALD,JUNGLE,Malphite,Evelyn,Leblanc,Samira,Neeko,52,AGGRESSIVE
6/13/2024 21:09:27,Baso#5893,441,EMERALD,MID,Darius,Kayn,Varus,Kog Maw,Rell,50,BALANCED
6/13/2024 21:17:08,Basta IGN koto#MELO,338,PLATINUM,JUNGLE,Fiora,Evelyn,Akali/Zed,Xayah,Lulu,55,AGGRESSIVE
6/13/2024 21:22:21,CHATGPT#PH2,500,GOLD,SUPPORT,Renekton,Sejuani,Sylas,Lucian,Rakkan,50,BALANCED
6/14/2024 0:27:52,aizen#abby,205,IRON,TOP,K'sante,Lee Sin,Yasuo,Kai'sa,Nautilus ,35,BALANCED
6/14/2024 18:25:44,shribsss#shibb,100,IRON,MID,aatrox,kayn,Katarina,samira,Alistar,60,AGGRESSIVE
6/14/2024 18:38:50,Lynxien#09203,435,EMERALD,MID,sett,kayn,zed,jhin,pyke,80,AGGRESSIVE
6/14/2024 18:39:52,Sh1#2444,283,PLATINUM,JUNGLE,URGOT,VOLLIBEAR,ZOE,JHIN,LEONA,80,AGGRESSIVE
6/14/2024 18:52:04,Lofn#notlj,251,PLATINUM,MID,Skarner,Nocturne,Brand,Jinx,Rell,49.95,BALANCED
6/14/2024 18:53:08,aletalks#1956,651,PLATINUM,MID,Vayne,Ezreal,Yone,Corki,Camille,40,AGGRESSIVE
6/14/2024 21:04:59,Hunger Panic#26152,158,SILVER,MID,Mordekaiser,Talon,Ezreal,Caitlin,Pyke,13,AGGRESSIVE
6/14/2024 23:30:04,Sphinxie#5029,739,EMERALD,BOT,Skarner,Vi,Ahri,Caitlyn,Lux,54,BALANCED
,,97,EMERALD,JUNGLE,Yorick,Karthus,Tristana,Senna,Nautilus,85,AGGRESSIVE
,,629,IRON,SUPPORT,Malphite,Lee Sin,Ahri,Ashe,Lux,74,BALANCED
,,847,CHALLENGER,MID,Riven,Viego,Zoe,Kai'Sa,LeBlanc,92,AGGRESSIVE
,,465,DIAMOND,JUNGLE,Fiora,Kindred,Tristana,Aphelios,Blitzcrank,56,BALANCED
,,371,IRON,TOP,Shen,Hecarim,Tristana,Ashe,Rell,68,DEFENSIVE
,,515,GOLD,JUNGLE,Yasuo,Lee Sin,Azir,Kai'Sa,Pyke,94,AGGRESSIVE
,,964,GOLD,JUNGLE,Yorick,Nunu,Ahri,Jhin,Leona,53,AGGRESSIVE
,,746,EMERALD,TOP,Urgot,Jarvan IV,Veigar,Jhin,Thresh,73,BALANCED
,,182,DIAMOND,TOP,Tryndamere,Hecarim,Zed,Lucian,Nautilus,90,AGGRESSIVE
,,572,BRONZE,SUPPORT,Lux,Nunu and Willump,Vex,Seraphine,Morgana,66,AGGRESSIVE
,,341,PLATINUM,TOP,Riven,Graves,Galio,Caitlyn,Yasuo,77,BALANCED
,,820,SILVER,JUNGLE,Renekton,Udyr,LeBlanc,Aphelios,Thresh,83,BALANCED
,,674,PLATINUM,MID,Nautilus,Zac,Cassiopeia,Twitch,Thresh,59,AGGRESSIVE
,,497,SILVER,SUPPORT,Darius,Lee Sin,Akali,Varus,Thresh,99,BALANCED
,,253,EMERALD,JUNGLE,Malphite,Evelynn,LeBlanc,Samira,Neeko,72,AGGRESSIVE
,,918,EMERALD,MID,Kayn,Lee Sin,Varus,Kog'Maw,Rell,87,BALANCED
,,689,PLATINUM,JUNGLE,Fiora,Evelynn,Akali/Zed,Xayah,Lulu,96,AGGRESSIVE
,,433,GOLD,SUPPORT,Renekton,Sejuani,Yasuo,Kai'Sa,Rakan,62,BALANCED
,,116,IRON,TOP,K'Sante,Lee Sin,Yasuo,Kai'Sa,Nautilus,58,BALANCED
,,775,IRON,JUNGLE,Aatrox,Kayn,Katarina,Samira,Braum,51,AGGRESSIVE
,,59,EMERALD,MID,Sett,Kayn,Zed,Jhin,Pyke,64,AGGRESSIVE
,,632,PLATINUM,JUNGLE,Urgot,Volibear,Zoe,Jhin,Leona,55,AGGRESSIVE
,,844,EMERALD,TOP,Garen,Elise,Yasuo,Kai'Sa,Morgana,78,AGGRESSIVE
,,206,IRON,SUPPORT,Shen,Olaf,Orianna,Aphelios,Yuumi,81,BALANCED
,,715,CHALLENGER,MID,Mordekaiser,Kha'Zix,Ekko,Jinx,Rakan,97,AGGRESSIVE
,,399,DIAMOND,JUNGLE,Jax,Rek'Sai,Syndra,Ezreal,Nami,71,BALANCED
,,381,IRON,TOP,Darius,Hecarim,Viktor,Miss Fortune,Thresh,61,DEFENSIVE
,,918,GOLD,JUNGLE,Ornn,Nunu,LeBlanc,Xayah,Lulu,69,AGGRESSIVE
,,507,GOLD,MID,Camille,Graves,Veigar,Vayne,Nautilus,54,AGGRESSIVE
,,724,EMERALD,BOT,Jinx,Lee Sin,Ahri,Ashe,Leona,88,BALANCED
,,90,DIAMOND,SUPPORT,Fiora,Jarvan IV,Tristana,Samira,Pyke,67,AGGRESSIVE
,,837,BRONZE,TOP,Garen,Elise,Twisted Fate,Vayne,Braum,95,AGGRESSIVE
,,441,PLATINUM,JUNGLE,Jax,Graves,Zed,Caitlyn,Yuumi,100,BALANCED
,,132,SILVER,MID,Shen,Hecarim,Syndra,Ezreal,Rakan,50,BALANCED
,,292,PLATINUM,JUNGLE,Malphite,Kha'Zix,LeBlanc,Miss Fortune,Thresh,84,AGGRESSIVE
,,489,SILVER,BOT,Vayne,Olaf,Veigar,Ashe,Morgana,98,BALANCED
,,902,EMERALD,SUPPORT,Renekton,Evelynn,Twisted Fate,Xayah,Leona,60,AGGRESSIVE
,,147,EMERALD,MID,Camille,Kayn,Ekko,Jhin,Pyke,70,BALANCED
,,736,PLATINUM,JUNGLE,Fiora,Nunu,Viktor,Vayne,Lulu,89,AGGRESSIVE
,,329,GOLD,SUPPORT,Garen,Volibear,Orianna,Kai'Sa,Nautilus,75,BALANCED
,,952,IRON,TOP,Darius,Rek'Sai,Yasuo,Miss Fortune,Leona,65,BALANCED
,,178,IRON,JUNGLE,Ornn,Hecarim,Tristana,Aphelios,Thresh,57,AGGRESSIVE
,,524,EMERALD,MID,Jax,Kha'Zix,Syndra,Ezreal,Nami,93,AGGRESSIVE
,,821,PLATINUM,SUPPORT,Malphite,Lee Sin,Veigar,Xayah,Pyke,52,AGGRESSIVE
,,346,EMERALD,TOP,Camille,Olaf,Zed,Ashe,Leona,63,AGGRESSIVE
,,683,IRON,JUNGLE,Fiora,Jarvan IV,Tristana,Vayne,Braum,80,BALANCED
,,274,CHALLENGER,MID,Garen,Graves,Syndra,Jhin,Pyke,79,AGGRESSIVE
,,590,DIAMOND,BOT,Shen,Hecarim,Twisted Fate,Kai'Sa,Thresh,86,BALANCED
,,965,IRON,SUPPORT,Jax,Kha'Zix,Viktor,Ashe,Morgana,76,DEFENSIVE
,,471,GOLD,TOP,Ornn,Evelynn,Yasuo,Vayne,Leona,91,AGGRESSIVE